"Kind","Name","Type","NewFilename","CurrentIcon","DataFile"
"NPC","Adeptus","Adept Reforging","Adeptus.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Ametrine","CW Quest Upgrade","Ametrine.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Atla","Mog Vault Quest","Atla.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Beetrix","Goblin Daily","Beetrix.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Boboroon","CW Daily Reward","Boboroon.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Bobortimer","Novice Trials","Bobortimer.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Carnelian","CW Issue Recovery","Carnelian.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Cassie","Grand Trials","Cassie.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Chiliad the Snoll","CEXI 1000 Player Event","ChiliadTheSnoll.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Courier Helper","Holiday Event","CourierHelper.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Crystal Warden","CW Intro Quest","CrystalWarden.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Decrepit S. Lord","Halloween Event","DecrepitSLord.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Delivery Helper","Holiday Event","DeliveryHelper.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Dragon Lore","Dragonslaying Merit Storage","DragonLore.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Eryndor","Leafallia Amenities","Eryndor.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Fishtix","Goblin Daily","Fishtix.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Franz","Dynamis Augments","Franz.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Garret","Garrison & Incursion Rewards","Garret.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Huebald","Novice Trials","Huebald.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Irvina","Salvage Upgrades","Irvina.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Kumop","Letter Moogle","Kumop.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Lanira","Summit Global Buffs","Lanira.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mehira","Summit Target Family","Mehira.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mellie","Novice Trials","Mellie.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mimoza","Letter Moogle","Mimoza.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mistrix","Goblin Daily","Mistrix.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mochos","Mog Vault Quest","Mochos.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Moggy","Mog Vault Shop","Moggy.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogki","Letter Moogle","Mogki.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogmi","Letter Moogle","Mogmi.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogret","Letter Moogle","Mogret.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogrich","Letter Moogle","Mogrich.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogrika","Letter Moogle","Mogrika.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogryo","Letter Moogle","Mogryo.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogster","Mog Vault Fight","Mogster.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogsy","Letter Moogle","Mogsy.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogtaka","Letter Moogle","Mogtaka.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Moguel","Letter Moogle","Moguel.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mogwin","Letter Moogle","Mogwin.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mois","Letter Moogle","Mois.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Monty","Letter Moogle","Monty.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Moodon","Letter Moogle","Moodon.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mooel","Letter Moogle","Mooel.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Moonte","Letter Moogle","Moonte.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Moorock","Letter Moogle","Moorock.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mopli","Letter Moogle","Mopli.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mosco","Letter Moogle","Mosco.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mozme","Mog Vault Quest","Mozme.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Mugmug","Letter Moogle","Mugmug.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Murdox","Goblin Daily","Murdox.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Nazna","Letter Moogle","Nazna.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Nemosyne","CW Reward Recovery","Nemosyne.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Petros","CW Mode Services","Petros.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Riding Thunder","Mount Customization","RidingThunder.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Sadoc","Novice Trials","Sadoc.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Saltlix","Goblin Daily","Saltlix.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Serino","Mog Vault Quest","Serino.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Shattering Stone","CW Mode Conversion","ShatteringStone.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Sigmund","Dragonslaying DKP","Sigmund.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Squire Guard","Trial Gear Storage","SquireGuard.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Wrapping Helper","Holiday Event","WrappingHelper.png","Event.png","data/catseye_npc_icons.lua"
"NPC","Domain Officer","Domain Shard Exchange","DomainOfficer.png","Merchant.png","data/catseye_npc_icons.lua"
"NPC","Jeuno Envoy","Conquest Item Vendor","JeunoEnvoy.png","Merchant.png","data/catseye_npc_icons.lua"
"NPC","Soupox","Summit Tax Rewards","Soupox.png","Merchant.png","data/catseye_npc_icons.lua"
"NPC","Teodor","Chair Shop","Teodor.png","Merchant.png","data/catseye_npc_icons.lua"
"NPC","Aeolia","CW Starting Ring","Aeolia.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Alutanie","CW Early Gear","Alutanie.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Magilox","Venture Registration","Magilox.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Moyeyo","CW Starting Ring","Moyeyo.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Orenix","Venture Registration","Orenix.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Verona","CW Starting Ring","Verona.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Woodnix","Venture Registration","Woodnix.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Woodnox","Venture Registration","Woodnox.png","QuestGiver.png","data/catseye_npc_icons.lua"
"NPC","Aesculian","CW HELM Quest","Aesculian.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Agent M97","Quest NPC","AgentM97.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Aletta","CW Armor Quest","Aletta.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Andrus","EXP Guide Unlock","Andrus.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Archimedes","CW Starting Quest","Archimedes.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Ash","EXP Guide Unlock","Ash.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Bagatrix","CW Daily Content","Bagatrix.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Bardus","CW Starting Quest","Bardus.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Bella","CW Armor Quest","Bella.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Chilly Wolf","CW Starting Quest","ChillyWolf.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Conchata-Potata","CW Starting Quest","ConchataPotata.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Couquillard","CW Starting Quest","Couquillard.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Cramp","CW Armor Quest","Cramp.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Dadaroon","HELM Unlock Quest","Dadaroon.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Disarmed Knight","Outpost Unlock Quest","DisarmedKnight.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Dusty Footprint","CW Content Quest","DustyFootprint.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Erbelie","CW Starting Quest","Erbelie.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Erudu-Faludu","CW Intro Quest","EruduFaludu.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Felyna","HELM Unlock Quest","Felyna.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Ferredec","CW Early Gear","Ferredec.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Fha Mhakyaa","CW HELM Quest","FhaMhakyaa.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Gan-Ban","CW Armor Quest","GanBan.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Hermin-Harmon","CW Starting Quest","HerminHarmon.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Iron Digger","CW HELM Quest","IronDigger.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Iron Wolf","CW Intro Quest","IronWolf.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Khartes","HELM Unlock Quest","Khartes.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Lectilas","Quest NPC","Lectilas.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Letheb","System Unlock Quest","Letheb.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Manusiel","CW Early Gear","Manusiel.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Mathias","HELM Unlock Quest","Mathias.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Megasolus","Quest NPC","Megasolus.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Neavias","CW Starting Quest","Neavias.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Nefari","CW Armor Quest","Nefari.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Octavien","Job Unlock","Octavien.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Pedro","Quest NPC","Pedro.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Pennana","CW Early Gear","Pennana.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Perah Celehsi","CW Starting Quest","PerahCelehsi.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Perara","CW Starting Quest","Perara.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Puluki-Culuki","CW Starting Quest","PulukiCuluki.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Robineaux","CW Intro Quest","Robineaux.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Rusty Hammer","CW Storage Unlock","RustyHammer.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Sebastian","System Unlock Quest","Sebastian.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Shady Dealer","Curio Unlock Quest","ShadyDealer.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Shining Stone","CW Starting Quest","ShiningStone.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Sinister Moon","CW Starting Quest","SinisterMoon.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Somnelius","CW Starting Quest","Somnelius.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Tenebraux","Quest NPC","Tenebraux.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Yagudo Outlaw","CW Arena Unlock","YagudoOutlaw.png","QuestNPC.png","data/catseye_npc_icons.lua"
"NPC","Afdeen","PvP Teleporter","Afdeen.png","star.png","data/catseye_npc_icons.lua"
"NPC","Cara R.C.","Referral Concierge","CaraRC.png","star.png","data/catseye_npc_icons.lua"
